Model_file,Sequence,Node-Clade,Model_cofactor,Pocket_volume
AncA-2_B001_Mo.pdb,AncA-2,AncA,Mo,1021.75
AncA-2_B002_Mo.pdb,AncA-2,AncA,Mo,1077.75
AncA-2_B003_Mo.pdb,AncA-2,AncA,Mo,1093.875
AncA-2_B004_Mo.pdb,AncA-2,AncA,Mo,1128.375
AncA-2_B005_Mo.pdb,AncA-2,AncA,Mo,1066.125
AncA-2_B006_Mo.pdb,AncA-2,AncA,Mo,1065.375
AncA-2_B007_Mo.pdb,AncA-2,AncA,Mo,1113.125
AncA-2_B008_Mo.pdb,AncA-2,AncA,Mo,1096.5
AncA-2_B009_Mo.pdb,AncA-2,AncA,Mo,1109.375
AncA-2_B010_Mo.pdb,AncA-2,AncA,Mo,1121
AncA-2_B011_Mo.pdb,AncA-2,AncA,Mo,1109.625
AncA-2_B012_Mo.pdb,AncA-2,AncA,Mo,1071.625
AncA-2_B013_Mo.pdb,AncA-2,AncA,Mo,1138.75
AncA-2_B014_Mo.pdb,AncA-2,AncA,Mo,1100
AncA-2_B015_Mo.pdb,AncA-2,AncA,Mo,1033.125
AncA-2_B016_Mo.pdb,AncA-2,AncA,Mo,993.875
AncA-2_B017_Mo.pdb,AncA-2,AncA,Mo,1127.125
AncA-2_B018_Mo.pdb,AncA-2,AncA,Mo,1143.375
AncA-2_B019_Mo.pdb,AncA-2,AncA,Mo,1050.5
AncA-2_B020_Mo.pdb,AncA-2,AncA,Mo,1028.625
AncA-2_B021_Mo.pdb,AncA-2,AncA,Mo,1090.875
AncA-2_B022_Mo.pdb,AncA-2,AncA,Mo,1071.75
AncA-2_B023_Mo.pdb,AncA-2,AncA,Mo,1054.125
AncA-2_B024_Mo.pdb,AncA-2,AncA,Mo,1063.625
AncA-2_B025_Mo.pdb,AncA-2,AncA,Mo,1054.5
AncA-2_B026_Mo.pdb,AncA-2,AncA,Mo,1002
AncA-2_B027_Mo.pdb,AncA-2,AncA,Mo,1004.625
AncA-2_B028_Mo.pdb,AncA-2,AncA,Mo,1042.125
AncA-2_B029_Mo.pdb,AncA-2,AncA,Mo,1044.625
AncA-2_B030_Mo.pdb,AncA-2,AncA,Mo,993.625
AncA-2_B031_Mo.pdb,AncA-2,AncA,Mo,1107
AncA-2_B032_Mo.pdb,AncA-2,AncA,Mo,1045.625
AncA-2_B033_Mo.pdb,AncA-2,AncA,Mo,1031.625
AncA-2_B034_Mo.pdb,AncA-2,AncA,Mo,1075.125
AncA-2_B035_Mo.pdb,AncA-2,AncA,Mo,1034.75
AncA-2_B036_Mo.pdb,AncA-2,AncA,Mo,1119.75
AncA-2_B037_Mo.pdb,AncA-2,AncA,Mo,991.5
AncA-2_B038_Mo.pdb,AncA-2,AncA,Mo,1096.875
AncA-2_B039_Mo.pdb,AncA-2,AncA,Mo,1062
AncA-2_B040_Mo.pdb,AncA-2,AncA,Mo,1116.875
AncA-2_B041_Mo.pdb,AncA-2,AncA,Mo,985.125
AncA-2_B042_Mo.pdb,AncA-2,AncA,Mo,1073
AncA-2_B043_Mo.pdb,AncA-2,AncA,Mo,1136.75
AncA-2_B044_Mo.pdb,AncA-2,AncA,Mo,1037
AncA-2_B045_Mo.pdb,AncA-2,AncA,Mo,1085.875
AncA-2_B046_Mo.pdb,AncA-2,AncA,Mo,1060.125
AncA-2_B047_Mo.pdb,AncA-2,AncA,Mo,1146.75
AncA-2_B048_Mo.pdb,AncA-2,AncA,Mo,1042.875
AncA-2_B049_Mo.pdb,AncA-2,AncA,Mo,1050.25
AncA-2_B050_Mo.pdb,AncA-2,AncA,Mo,1076.5
AncA-2_B051_Mo.pdb,AncA-2,AncA,Mo,1058.25
AncA-2_B052_Mo.pdb,AncA-2,AncA,Mo,1031.125
AncA-2_B053_Mo.pdb,AncA-2,AncA,Mo,1066.5
AncA-2_B054_Mo.pdb,AncA-2,AncA,Mo,1097
AncA-2_B055_Mo.pdb,AncA-2,AncA,Mo,1087.125
AncA-2_B056_Mo.pdb,AncA-2,AncA,Mo,1101.125
AncA-2_B057_Mo.pdb,AncA-2,AncA,Mo,1093.125
AncA-2_B058_Mo.pdb,AncA-2,AncA,Mo,998.125
AncA-2_B059_Mo.pdb,AncA-2,AncA,Mo,1074.5
AncA-2_B060_Mo.pdb,AncA-2,AncA,Mo,1066.5
AncA-2_B061_Mo.pdb,AncA-2,AncA,Mo,1099.375
AncA-2_B062_Mo.pdb,AncA-2,AncA,Mo,995.875
AncA-2_B063_Mo.pdb,AncA-2,AncA,Mo,1101.75
AncA-2_B064_Mo.pdb,AncA-2,AncA,Mo,1119.875
AncA-2_B065_Mo.pdb,AncA-2,AncA,Mo,1054.625
AncA-2_B066_Mo.pdb,AncA-2,AncA,Mo,945.5
AncA-2_B067_Mo.pdb,AncA-2,AncA,Mo,1112
AncA-2_B068_Mo.pdb,AncA-2,AncA,Mo,1101.125
AncA-2_B069_Mo.pdb,AncA-2,AncA,Mo,1188.25
AncA-2_B070_Mo.pdb,AncA-2,AncA,Mo,998
AncA-2_B071_Mo.pdb,AncA-2,AncA,Mo,1037.875
AncA-2_B072_Mo.pdb,AncA-2,AncA,Mo,1089.875
AncA-2_B073_Mo.pdb,AncA-2,AncA,Mo,1064.25
AncA-2_B074_Mo.pdb,AncA-2,AncA,Mo,919
AncA-2_B075_Mo.pdb,AncA-2,AncA,Mo,1146.25
AncA-2_B076_Mo.pdb,AncA-2,AncA,Mo,1016.875
AncA-2_B077_Mo.pdb,AncA-2,AncA,Mo,1019.875
AncA-2_B078_Mo.pdb,AncA-2,AncA,Mo,1121.375
AncA-2_B079_Mo.pdb,AncA-2,AncA,Mo,1051.875
AncA-2_B080_Mo.pdb,AncA-2,AncA,Mo,1048.125
AncA-2_B081_Mo.pdb,AncA-2,AncA,Mo,1084.125
AncA-2_B082_Mo.pdb,AncA-2,AncA,Mo,1065.75
AncA-2_B083_Mo.pdb,AncA-2,AncA,Mo,1089.375
AncA-2_B084_Mo.pdb,AncA-2,AncA,Mo,1053.875
AncA-2_B085_Mo.pdb,AncA-2,AncA,Mo,1017.75
AncA-2_B086_Mo.pdb,AncA-2,AncA,Mo,1050.25
AncA-2_B087_Mo.pdb,AncA-2,AncA,Mo,1139.375
AncA-2_B088_Mo.pdb,AncA-2,AncA,Mo,1091.625
AncA-2_B089_Mo.pdb,AncA-2,AncA,Mo,1096.5
AncA-2_B090_Mo.pdb,AncA-2,AncA,Mo,1035
AncA-2_B091_Mo.pdb,AncA-2,AncA,Mo,1059.125
AncA-2_B092_Mo.pdb,AncA-2,AncA,Mo,1134.5
AncA-2_B093_Mo.pdb,AncA-2,AncA,Mo,1149
AncA-2_B094_Mo.pdb,AncA-2,AncA,Mo,1059
AncA-2_B095_Mo.pdb,AncA-2,AncA,Mo,1055
AncA-2_B096_Mo.pdb,AncA-2,AncA,Mo,1062.125
AncA-2_B097_Mo.pdb,AncA-2,AncA,Mo,1102.25
AncA-2_B098_Mo.pdb,AncA-2,AncA,Mo,1028.375
AncA-2_B099_Mo.pdb,AncA-2,AncA,Mo,1092.375
AncA-2_B100_Mo.pdb,AncA-2,AncA,Mo,983.75
AncA-2_NifD.B99990010.pdb,AncA-2,AncA,Mo,1104
AncA-2_NifD.B99990012.pdb,AncA-2,AncA,Mo,1089.375
AncA-2_NifD.B99990020.pdb,AncA-2,AncA,Mo,1029.625
AncA-2_NifD.B99990028.pdb,AncA-2,AncA,Mo,1009.5
AncA-2_NifD.B99990031.pdb,AncA-2,AncA,Mo,1071.625
AncA-2_NifD.B99990040.pdb,AncA-2,AncA,Mo,1056.75
AncA-2_NifD.B99990069.pdb,AncA-2,AncA,Mo,1075.125
AncA-2_NifD.B99990088.pdb,AncA-2,AncA,Mo,1116.875
AncA-2_NifD.B99990093.pdb,AncA-2,AncA,Mo,1085
AncA-2_NifD.B99990097.pdb,AncA-2,AncA,Mo,1073.125
AncA-3_B001_Mo.pdb,AncA-3,AncA,Mo,1055.875
AncA-3_B002_Mo.pdb,AncA-3,AncA,Mo,1023.875
AncA-3_B003_Mo.pdb,AncA-3,AncA,Mo,1115.875
AncA-3_B004_Mo.pdb,AncA-3,AncA,Mo,1097.875
AncA-3_B005_Mo.pdb,AncA-3,AncA,Mo,1078.75
AncA-3_B006_Mo.pdb,AncA-3,AncA,Mo,1012.125
AncA-3_B007_Mo.pdb,AncA-3,AncA,Mo,1016.75
AncA-3_B008_Mo.pdb,AncA-3,AncA,Mo,1036.375
AncA-3_B009_Mo.pdb,AncA-3,AncA,Mo,1087.875
AncA-3_B010_Mo.pdb,AncA-3,AncA,Mo,1074.5
AncA-3_B011_Mo.pdb,AncA-3,AncA,Mo,1011.75
AncA-3_B012_Mo.pdb,AncA-3,AncA,Mo,1142.5
AncA-3_B013_Mo.pdb,AncA-3,AncA,Mo,1142.125
AncA-3_B014_Mo.pdb,AncA-3,AncA,Mo,1095.875
AncA-3_B015_Mo.pdb,AncA-3,AncA,Mo,1029.625
AncA-3_B016_Mo.pdb,AncA-3,AncA,Mo,1030.25
AncA-3_B017_Mo.pdb,AncA-3,AncA,Mo,1134.375
AncA-3_B018_Mo.pdb,AncA-3,AncA,Mo,1077.25
AncA-3_B019_Mo.pdb,AncA-3,AncA,Mo,1127.625
AncA-3_B020_Mo.pdb,AncA-3,AncA,Mo,1118.125
AncA-3_B021_Mo.pdb,AncA-3,AncA,Mo,1109
AncA-3_B022_Mo.pdb,AncA-3,AncA,Mo,1047.5
AncA-3_B023_Mo.pdb,AncA-3,AncA,Mo,1083.625
AncA-3_B024_Mo.pdb,AncA-3,AncA,Mo,1108.875
AncA-3_B025_Mo.pdb,AncA-3,AncA,Mo,1035.375
AncA-3_B026_Mo.pdb,AncA-3,AncA,Mo,1034.625
AncA-3_B027_Mo.pdb,AncA-3,AncA,Mo,981.25
AncA-3_B028_Mo.pdb,AncA-3,AncA,Mo,1087.25
AncA-3_B029_Mo.pdb,AncA-3,AncA,Mo,1052
AncA-3_B030_Mo.pdb,AncA-3,AncA,Mo,1008.875
AncA-3_B031_Mo.pdb,AncA-3,AncA,Mo,995.125
AncA-3_B032_Mo.pdb,AncA-3,AncA,Mo,1054.875
AncA-3_B033_Mo.pdb,AncA-3,AncA,Mo,1100.75
AncA-3_B034_Mo.pdb,AncA-3,AncA,Mo,1142.875
AncA-3_B035_Mo.pdb,AncA-3,AncA,Mo,1099.875
AncA-3_B036_Mo.pdb,AncA-3,AncA,Mo,953.625
AncA-3_B037_Mo.pdb,AncA-3,AncA,Mo,949.875
AncA-3_B038_Mo.pdb,AncA-3,AncA,Mo,1087.875
AncA-3_B039_Mo.pdb,AncA-3,AncA,Mo,1144.25
AncA-3_B040_Mo.pdb,AncA-3,AncA,Mo,1028.375
AncA-3_B041_Mo.pdb,AncA-3,AncA,Mo,1131.625
AncA-3_B042_Mo.pdb,AncA-3,AncA,Mo,1123.625
AncA-3_B043_Mo.pdb,AncA-3,AncA,Mo,1077.125
AncA-3_B044_Mo.pdb,AncA-3,AncA,Mo,1052.5
AncA-3_B045_Mo.pdb,AncA-3,AncA,Mo,1138
AncA-3_B046_Mo.pdb,AncA-3,AncA,Mo,1132.75
AncA-3_B047_Mo.pdb,AncA-3,AncA,Mo,1114.875
AncA-3_B048_Mo.pdb,AncA-3,AncA,Mo,1126.625
AncA-3_B049_Mo.pdb,AncA-3,AncA,Mo,1099.25
AncA-3_B050_Mo.pdb,AncA-3,AncA,Mo,1080.875
AncA-3_B051_Mo.pdb,AncA-3,AncA,Mo,1043.25
AncA-3_B052_Mo.pdb,AncA-3,AncA,Mo,1050.625
AncA-3_B053_Mo.pdb,AncA-3,AncA,Mo,1074.875
AncA-3_B054_Mo.pdb,AncA-3,AncA,Mo,950.5
AncA-3_B055_Mo.pdb,AncA-3,AncA,Mo,1044.5
AncA-3_B056_Mo.pdb,AncA-3,AncA,Mo,1030
AncA-3_B057_Mo.pdb,AncA-3,AncA,Mo,1057.75
AncA-3_B058_Mo.pdb,AncA-3,AncA,Mo,1064.25
AncA-3_B059_Mo.pdb,AncA-3,AncA,Mo,1053.25
AncA-3_B060_Mo.pdb,AncA-3,AncA,Mo,1100.625
AncA-3_B061_Mo.pdb,AncA-3,AncA,Mo,1115.625
AncA-3_B062_Mo.pdb,AncA-3,AncA,Mo,988
AncA-3_B063_Mo.pdb,AncA-3,AncA,Mo,1058.875
AncA-3_B064_Mo.pdb,AncA-3,AncA,Mo,1012.25
AncA-3_B065_Mo.pdb,AncA-3,AncA,Mo,1082.375
AncA-3_B066_Mo.pdb,AncA-3,AncA,Mo,1132.875
AncA-3_B067_Mo.pdb,AncA-3,AncA,Mo,1048.75
AncA-3_B068_Mo.pdb,AncA-3,AncA,Mo,1186
AncA-3_B069_Mo.pdb,AncA-3,AncA,Mo,1090.125
AncA-3_B070_Mo.pdb,AncA-3,AncA,Mo,1023.625
AncA-3_B071_Mo.pdb,AncA-3,AncA,Mo,1089.625
AncA-3_B072_Mo.pdb,AncA-3,AncA,Mo,1087
AncA-3_B073_Mo.pdb,AncA-3,AncA,Mo,1106.75
AncA-3_B074_Mo.pdb,AncA-3,AncA,Mo,1010.625
AncA-3_B075_Mo.pdb,AncA-3,AncA,Mo,1078.875
AncA-3_B076_Mo.pdb,AncA-3,AncA,Mo,1061.625
AncA-3_B077_Mo.pdb,AncA-3,AncA,Mo,991.25
AncA-3_B078_Mo.pdb,AncA-3,AncA,Mo,1108.625
AncA-3_B079_Mo.pdb,AncA-3,AncA,Mo,1054.25
AncA-3_B080_Mo.pdb,AncA-3,AncA,Mo,1052.5
AncA-3_B081_Mo.pdb,AncA-3,AncA,Mo,1038.5
AncA-3_B082_Mo.pdb,AncA-3,AncA,Mo,1114
AncA-3_B083_Mo.pdb,AncA-3,AncA,Mo,1072.375
AncA-3_B084_Mo.pdb,AncA-3,AncA,Mo,1137.75
AncA-3_B085_Mo.pdb,AncA-3,AncA,Mo,1025.25
AncA-3_B086_Mo.pdb,AncA-3,AncA,Mo,1031.625
AncA-3_B087_Mo.pdb,AncA-3,AncA,Mo,1115.125
AncA-3_B088_Mo.pdb,AncA-3,AncA,Mo,1049
AncA-3_B089_Mo.pdb,AncA-3,AncA,Mo,967.75
AncA-3_B090_Mo.pdb,AncA-3,AncA,Mo,1045.125
AncA-3_B091_Mo.pdb,AncA-3,AncA,Mo,1117.25
AncA-3_B092_Mo.pdb,AncA-3,AncA,Mo,1162
AncA-3_B093_Mo.pdb,AncA-3,AncA,Mo,1163.25
AncA-3_B094_Mo.pdb,AncA-3,AncA,Mo,1036.75
AncA-3_B095_Mo.pdb,AncA-3,AncA,Mo,1028.625
AncA-3_B096_Mo.pdb,AncA-3,AncA,Mo,966.375
AncA-3_B097_Mo.pdb,AncA-3,AncA,Mo,1082.75
AncA-3_B098_Mo.pdb,AncA-3,AncA,Mo,1098.125
AncA-3_B099_Mo.pdb,AncA-3,AncA,Mo,1088.25
AncA-3_B100_Mo.pdb,AncA-3,AncA,Mo,1065.375
AncA-3_NifD.B99990005.pdb,AncA-3,AncA,Mo,1102.25
AncA-3_NifD.B99990008.pdb,AncA-3,AncA,Mo,1024.25
AncA-3_NifD.B99990018.pdb,AncA-3,AncA,Mo,1142
AncA-3_NifD.B99990020.pdb,AncA-3,AncA,Mo,1093.625
AncA-3_NifD.B99990021.pdb,AncA-3,AncA,Mo,1116.125
AncA-3_NifD.B99990028.pdb,AncA-3,AncA,Mo,1106.25
AncA-3_NifD.B99990045.pdb,AncA-3,AncA,Mo,1122.5
AncA-3_NifD.B99990074.pdb,AncA-3,AncA,Mo,1093.25
AncA-3_NifD.B99990087.pdb,AncA-3,AncA,Mo,1156.5
AncA-3_NifD.B99990096.pdb,AncA-3,AncA,Mo,1070.625
AncA-4_B001_Mo.pdb,AncA-4,AncA,Mo,1025.875
AncA-4_B002_Mo.pdb,AncA-4,AncA,Mo,1007.875
AncA-4_B003_Mo.pdb,AncA-4,AncA,Mo,1156.125
AncA-4_B004_Mo.pdb,AncA-4,AncA,Mo,1041.125
AncA-4_B005_Mo.pdb,AncA-4,AncA,Mo,1080.5
AncA-4_B006_Mo.pdb,AncA-4,AncA,Mo,1035
AncA-4_B007_Mo.pdb,AncA-4,AncA,Mo,1072.875
AncA-4_B008_Mo.pdb,AncA-4,AncA,Mo,1021.125
AncA-4_B009_Mo.pdb,AncA-4,AncA,Mo,1098.625
AncA-4_B010_Mo.pdb,AncA-4,AncA,Mo,1111.375
AncA-4_B011_Mo.pdb,AncA-4,AncA,Mo,1031.375
AncA-4_B012_Mo.pdb,AncA-4,AncA,Mo,1084
AncA-4_B013_Mo.pdb,AncA-4,AncA,Mo,1126
AncA-4_B014_Mo.pdb,AncA-4,AncA,Mo,1039.125
AncA-4_B015_Mo.pdb,AncA-4,AncA,Mo,1028.125
AncA-4_B016_Mo.pdb,AncA-4,AncA,Mo,1047.875
AncA-4_B017_Mo.pdb,AncA-4,AncA,Mo,1086.75
AncA-4_B018_Mo.pdb,AncA-4,AncA,Mo,1079.125
AncA-4_B019_Mo.pdb,AncA-4,AncA,Mo,1111.625
AncA-4_B020_Mo.pdb,AncA-4,AncA,Mo,972.75
AncA-4_B021_Mo.pdb,AncA-4,AncA,Mo,974.75
AncA-4_B022_Mo.pdb,AncA-4,AncA,Mo,1106.125
AncA-4_B023_Mo.pdb,AncA-4,AncA,Mo,1015.25
AncA-4_B024_Mo.pdb,AncA-4,AncA,Mo,1062.5
AncA-4_B025_Mo.pdb,AncA-4,AncA,Mo,1149.875
AncA-4_B026_Mo.pdb,AncA-4,AncA,Mo,966
AncA-4_B027_Mo.pdb,AncA-4,AncA,Mo,1071.625
AncA-4_B028_Mo.pdb,AncA-4,AncA,Mo,1081.75
AncA-4_B029_Mo.pdb,AncA-4,AncA,Mo,1126.625
AncA-4_B030_Mo.pdb,AncA-4,AncA,Mo,1153.125
AncA-4_B031_Mo.pdb,AncA-4,AncA,Mo,1081
AncA-4_B032_Mo.pdb,AncA-4,AncA,Mo,1131.375
AncA-4_B033_Mo.pdb,AncA-4,AncA,Mo,1088.25
AncA-4_B034_Mo.pdb,AncA-4,AncA,Mo,1112.875
AncA-4_B035_Mo.pdb,AncA-4,AncA,Mo,1108
AncA-4_B036_Mo.pdb,AncA-4,AncA,Mo,1186.25
AncA-4_B037_Mo.pdb,AncA-4,AncA,Mo,1047.375
AncA-4_B038_Mo.pdb,AncA-4,AncA,Mo,1038.25
AncA-4_B039_Mo.pdb,AncA-4,AncA,Mo,1077.25
AncA-4_B040_Mo.pdb,AncA-4,AncA,Mo,1067.625
AncA-4_B041_Mo.pdb,AncA-4,AncA,Mo,1017.125
AncA-4_B042_Mo.pdb,AncA-4,AncA,Mo,1067.75
AncA-4_B043_Mo.pdb,AncA-4,AncA,Mo,1108.5
AncA-4_B044_Mo.pdb,AncA-4,AncA,Mo,1084.375
AncA-4_B045_Mo.pdb,AncA-4,AncA,Mo,1030.875
AncA-4_B046_Mo.pdb,AncA-4,AncA,Mo,1039.125
AncA-4_B047_Mo.pdb,AncA-4,AncA,Mo,1012.5
AncA-4_B048_Mo.pdb,AncA-4,AncA,Mo,1021
AncA-4_B049_Mo.pdb,AncA-4,AncA,Mo,1054.625
AncA-4_B050_Mo.pdb,AncA-4,AncA,Mo,1066.5
AncA-4_B051_Mo.pdb,AncA-4,AncA,Mo,1011
AncA-4_B052_Mo.pdb,AncA-4,AncA,Mo,1138.625
AncA-4_B053_Mo.pdb,AncA-4,AncA,Mo,1122.125
AncA-4_B054_Mo.pdb,AncA-4,AncA,Mo,1066.25
AncA-4_B055_Mo.pdb,AncA-4,AncA,Mo,1075.125
AncA-4_B056_Mo.pdb,AncA-4,AncA,Mo,1043.25
AncA-4_B057_Mo.pdb,AncA-4,AncA,Mo,1067.5
AncA-4_B058_Mo.pdb,AncA-4,AncA,Mo,941.5
AncA-4_B059_Mo.pdb,AncA-4,AncA,Mo,1101.625
AncA-4_B060_Mo.pdb,AncA-4,AncA,Mo,1064.75
AncA-4_B061_Mo.pdb,AncA-4,AncA,Mo,1002.25
